Long,Lat,shop,name
-71.0834282,42.3624933,supermarket,Brothers Marketplace
-71.2091294,42.350704,supermarket,Star Market
-71.2015712,42.7049501,supermarket,Market Basket
-71.2200328,42.0941009,supermarket,Shaw's
-71.159928,42.3701852,supermarket,Massis Bakery
-71.2203107,42.1785732,supermarket,Big Y
-71.1594766,42.4163766,supermarket,Whole Foods Market
-72.5190327,42.1383756,supermarket,5 Star Supermarket
-72.53513,42.3681657,supermarket,Big Y
-70.8291919,42.6834455,supermarket,
-70.8291812,42.68341,supermarket,
-70.9920377,42.24055,supermarket,Kam Man Food
-72.6632628,42.2875454,supermarket,River Valley Co-op (soon)
-70.9370199,41.6994584,supermarket,Trucchi's Supermarket
-71.3541335,42.1670166,supermarket,Roche Bros.
-71.0454329,41.9050791,supermarket,Aldi
-71.3800702,42.3036552,supermarket,Aldi
-70.7441854,41.7788938,supermarket,Aldi
-71.1614604,41.6717118,supermarket,ALDI
-71.1005826,42.1282671,supermarket,Price Rite
-71.1048745,42.3658454,supermarket,Daily Table
-71.1027018,42.1316375,supermarket,Brazil For You
-71.1851928,42.424393,supermarket,Maruichi Japanese Food and Deli
-71.1708377,41.729703,supermarket,Stop & Shop
-70.9476059,42.5612464,supermarket,McKinnon's Market & Super Butcher Shop
-71.1648102,41.6741382,supermarket,Stop & Shop
-71.1416599,41.6860346,supermarket,Walmart Supercenter
-71.1525292,41.6941526,supermarket,Stop & Shop
-71.1266376,41.7126967,supermarket,Daou Market
-71.1078352,42.4175293,supermarket,Ebisuya Japanese Market
-70.6848266,42.0250941,supermarket,Brothers Marketplace
-71.0235261,42.2704534,supermarket,99 Ranch Market
-71.1979441,42.1920043,supermarket,Shiva bazar
-71.0266026,42.2714976,supermarket,
-71.0272375,42.2711274,supermarket,
-71.1109768,42.3216662,supermarket,Taino Mural
-71.0243672,42.2716666,supermarket,C Mart Quincy
